Character,Alt Code,Character Name,Unicode Code Point,Character,Alt Code,Character Name,Unicode Code Point
Alt codes based on IBM/DOS Code Page 437,,,,Alt codes based on Windows Code Page 1252,,,
␀,Alt 0,Control character - null (NUL),U+0000,␀,Alt 0,Control character - null (NUL),U+0000
☺,Alt 1,"White smiling face, smiley face",U+263A,␁,Alt 01,Control character - start of heading (SOH),U+0001
☻,Alt 2,Black smiling face,U+263B,␂,Alt 02,Control character - start of text (STX),U+0002
♥,Alt 3,Black heart suit,U+2665,␃,Alt 03,Control character - end of text (ETX),U+0003
♦,Alt 4,Black diamond suit,U+2666,␄,Alt 04,Control character - end of transmission (EOT),U+0004
♣,Alt 5,Black club suit,U+2663,␅,Alt 05,Control character - enquiry (ENQ),U+0005
♠,Alt 6,Black spade suit,U+2660,␆,Alt 06,Control character - acknowledge (ACK),U+0006
•,Alt 7,Bullet,U+2022,␇,Alt 07,Control character - bell (BEL),U+0007
◘,Alt 8,Inverse bullet,U+25D8,␈,Alt 08,Control character - backspace (BS),U+0008
○,Alt 9,White circle,U+25CB,␉,Alt 09,Control character - horizontal tabulation (HT),U+0009
◙,Alt 10,Inverse white circle,U+25D9,␊,Alt 010,Control character - line feed (LF),U+000A
♂,Alt 11,"Male sign, mars, alchemical symbol for iron",U+2642,␋,Alt 011,Control character - vertical tabulation (VT),U+000B
♀,Alt 12,"Female sign, venus, alchemical symbol for copper",U+2640,␌,Alt 012,Control character - form feed (FF),U+000C
♪,Alt 13,"Eighth note, quaver",U+266A,␍,Alt 013,Control character - carriage return (CR),U+000D
♫,Alt 14,"Beamed eighth notes, barred eighth notes, beamed quavers",U+266B,␎,Alt 014,Control character - shift out (SO),U+000E
☼,Alt 15,White sun with rays,U+263C,␏,Alt 015,Control character - shift in (SI),U+000F
►,Alt 16,Black right-pointing pointer,U+25BA,␐,Alt 016,Control character - data link escape (DLE),U+0010
◄,Alt 17,Black left-pointing pointer,U+25C4,␑,Alt 017,Control character - device control one (DC1),U+0011
↕,Alt 18,Up down arrow,U+2195,␒,Alt 018,Control character - device control two (DC2),U+0012
‼,Alt 19,Double exclamation mark,U+203C,␓,Alt 019,Control character - device control three (DC3),U+0013
¶,Alt 20,"Pilcrow sign, paragraph sign",U+00B6,␔,Alt 020,Control character - device control four (DC4),U+0014
§,Alt 21,Section sign,U+00A7,␕,Alt 021,Control character - negative acknowledge (NAK),U+0015
▬,Alt 22,Black rectangle,U+25AC,␖,Alt 022,Control character - synchronous idle (SYN),U+0016
↨,Alt 23,Up down arrow with base,U+21A8,␗,Alt 023,Control character - end of transmission block (ETB),U+0017
↑,Alt 24,Upwards arrow,U+2191,␘,Alt 024,Control character - cancel (CAN),U+0018
↓,Alt 25,Downwards arrow,U+2193,␙,Alt 025,Control character - end of medium (EM),U+0019
→,Alt 26,"Rightwards arrow, Z notation total function",U+2192,␚,Alt 026,Control character - substitute (SUB),U+001A
←,Alt 27,Leftwards arrow,U+2190,␛,Alt 027,Control character - escape (ESC),U+001B
∟,Alt 28,Right angle,U+221F,␜,Alt 028,Control character - file separator (FS),U+001C
↔,Alt 29,"Left right arrow, Z notation relation",U+2194,␝,Alt 029,Control character - group separator (GS),U+001D
▲,Alt 30,Black up-pointing triangle,U+25B2,␞,Alt 030,Control character - record separator (RS),U+001E
